respondent_id,Age,Sex,Religion,MaritalStatus,LivingWithChildren,CovidExperience,assigned_block,ideology_id,ideology_name,sampling_seed,b_phmvac_basic_notavail,b_phmvac_rsc_avail,b_phmvac_rsc_notavail,b_phmvac_lockdown_avail,b_phmvac_lockdown_notavail,b_phmvac_basic_notavail_male,b_phmvac_rsc_avail_male,b_phmvac_rsc_notavail_male,b_phmvac_lockdown_avail_male,b_phmvac_lockdown_notavail_male,b_phmvac_basic_notavail_age3554,b_phmvac_rsc_avail_age3554,b_phmvac_rsc_notavail_age3554,b_phmvac_lockdown_avail_age3554,b_phmvac_lockdown_notavail_age3554,b_phmvac_basic_notavail_age55p,b_phmvac_rsc_avail_age55p,b_phmvac_rsc_notavail_age55p,b_phmvac_lockdown_avail_age55p,b_phmvac_lockdown_notavail_age55p,b_phmsev_dur2,sigma_u,b_econ20,b_econ40,b_inc50,b_inc90,b_mor100,b_mor150,b_edu10
1,28,Female,Christian,Single,Yes,None,4,NA,,20260909002,-3.47687,-0.909269,-0.715367,-1.54591,-2.94672,-0.0767205,0.0671255,0.034568,0.224158,0.15399,1.85828,0.302631,-0.239268,0.406224,1.93198,3.31978,0.694182,0.744834,1.06525,2.65173,-0.0153608,0.0231076,0.0667983,0.264373,-0.302803,-1.02299,-1.73909,-3.93891,-0.0354966
2,52,Female,Christian,Married,No,Had COVID,1,NA,,20260909002,-3.52139,-1.12701,-0.888135,-1.73751,-3.28886,-0.15931,-0.00871645,-0.00444069,-0.0753027,0.0625995,2.3086,0.674135,0.120233,0.67262,2.18519,3.25625,0.674403,0.946148,1.27421,2.59699,-0.0156827,0.0223355,0.0549713,0.284901,-0.27579,-1.05071,-1.62494,-3.86616,0.00753071
3,39,Male,Christian,Married,Yes,None,2,3,Communitarianism,20260909002,-3.27058,-0.944483,-0.773496,-1.30852,-3.25421,-0.209958,-0.0338614,0.11709,0.1423,0.0934402,1.78997,0.485094,-0.0394456,0.172491,2.373,2.94476,0.514308,0.769289,0.576372,2.59365,-0.0162025,0.0230036,0.0527067,0.239305,-0.257622,-1.06977,-1.61835,-3.92004,-0.026588
4,28,Male,Christian,Single,No,Had COVID,3,NA,,20260909002,-3.3086,-0.937537,-0.628485,-1.26494,-3.11422,-0.278999,-0.0506393,0.0131139,0.123419,0.0302872,1.95175,0.399399,-0.171475,0.151872,2.12581,3.18963,0.608951,0.625301,0.727222,2.46183,-0.0162465,0.02281,0.0465705,0.297527,-0.320734,-1.10342,-1.65192,-3.96088,-0.0908904
5,41,Male,No religion,Single,Yes,None,2,NA,,20260909002,-3.57556,-1.2208,-1.04559,-1.70249,-3.57091,-0.218395,-0.0356417,0.044909,-0.0988517,-0.0258555,2.3363,0.865334,0.263777,0.635224,2.78737,3.49567,0.92834,1.1818,1.2199,3.06535,-0.0161093,0.023114,0.0643412,0.379675,-0.25809,-1.05015,-1.63767,-3.89102,-0.0149789
6,69,Female,No religion,Married,Yes,None,3,NA,,20260909002,-3.25482,-0.909733,-0.752428,-1.2738,-3.17284,-0.334155,-0.21594,-0.0350511,-0.155075,-0.303046,2.21634,0.82297,0.122627,0.344786,2.58508,3.29358,0.750731,0.870859,0.904787,2.91365,-0.0154516,0.0222414,0.0584643,0.24256,-0.2876,-1.10795,-1.65863,-3.98035,-0.0657745
7,69,Female,No religion,Married,No,Had COVID,3,NA,,20260909002,-3.46893,-1.0189,-0.738903,-1.46319,-3.39601,-0.395726,-0.16219,0.0142806,-0.0662689,-0.0530392,2.25729,0.691138,-0.0956703,0.464419,2.73317,3.39643,0.809352,0.84812,1.21505,3.0207,-0.0162203,0.0233765,0.046313,0.291413,-0.31176,-1.12207,-1.73654,-4.04393,-0.0321675
8,19,Male,No religion,Single,No,None,4,NA,,20260909002,-3.02396,-0.653026,-0.642439,-1.2167,-2.59658,-0.324789,-0.0887813,-0.0732975,-0.00915523,-0.146948,1.89638,0.2987,-0.145386,0.177635,1.95792,2.94041,0.396816,0.710281,0.841693,2.26397,-0.0157402,0.0225108,0.0747753,0.236352,-0.353262,-1.03864,-1.71422,-3.96866,-0.0501052
9,24,Male,Christian,Single,No,Bereaved,4,NA,,20260909002,-3.4206,-0.92243,-0.694389,-1.23944,-3.6655,-0.209093,-0.0631073,-0.0039688,-0.0656403,-0.0711462,2.12119,0.51117,0.0189836,0.314864,2.90456,3.3428,0.716109,0.792664,0.761866,3.27652,-0.016721,0.0220001,0.0328569,0.337083,-0.301787,-1.15793,-1.62473,-3.98145,-0.083593
10,54,Female,No religion,Divorced,No,Had COVID,3,NA,,20260909002,-3.43285,-1.16313,-0.905324,-1.3055,-3.3275,-0.370464,-0.130017,-0.0434494,-0.102853,-0.142317,2.12012,0.732668,0.241023,0.228811,2.6123,3.39191,0.964084,1.022,1.01334,3.00059,-0.015957,0.0227015,0.0655152,0.292867,-0.312654,-1.09465,-1.67266,-3.96301,-0.0685805
11,51,Female,Muslim,Married,No,None,1,NA,,20260909002,-3.14867,-0.901238,-0.748054,-1.43479,-3.20062,-0.338334,-0.118665,0.0700669,0.0350704,-0.0997045,2.10735,0.781124,0.105719,0.652006,2.57745,3.11597,0.603244,0.804894,0.928738,2.90487,-0.0152102,0.0221461,-0.0131747,0.297743,-0.278363,-1.09505,-1.6308,-3.98532,-0.0619894
12,73,Male,Christian,Single,No,None,4,4,Conspiracy Ideation,20260909002,-3.43766,-0.986749,-0.788146,-1.54932,-3.01184,-0.316874,-0.182364,0.0575787,0.0173005,-0.06881,2.25877,0.723363,-0.0233892,0.26493,2.44162,3.39137,0.825327,0.856892,1.28423,2.77837,-0.0155921,0.0215613,0.0300858,0.267401,-0.32181,-1.08228,-1.67539,-3.95491,-0.0809805
13,62,Male,Christian,Divorced,No,Bereaved,1,NA,,20260909002,-3.39461,-1.10585,-0.938937,-1.7694,-3.37222,-0.215401,0.0678322,0.127773,0.0948546,0.0974519,2.13553,0.643479,0.192022,0.695656,2.7448,3.06208,0.697776,1.01709,1.3001,2.8531,-0.0161362,0.0223748,0.0434497,0.26168400000000003,-0.275409,-0.971794,-1.63959,-3.82178,-0.0459078
